,psi1,lam1,r,r0,alpha,rep
0,0.85,0.7,0.2004459314343183,3.0,1.4035087719298245,0.0
1,0.85,0.7,0.5,7.483314773547883,1.2944983818770226,0.0
2,0.85,0.9517857142857142,0.5,3.0,1.3201320132013201,0.0
3,0.06666666666666654,0.7,0.5,3.0,1.3559322033898304,0.0
4,0.85,0.7,0.2672612419124244,3.0,1.0498687664041995,0.0
5,0.85,0.7,0.5,5.612486080160913,1.1142061281337048,0.0
6,0.85,0.9142857142857143,0.5,3.0,1.238390092879257,0.0
7,0.475,0.7,0.5,3.0,1.238390092879257,0.0
8,0.85,0.7,0.33407655239053047,3.0,1.10803324099723,0.0
9,0.85,0.7,0.5,4.48998886412873,1.0610079575596818,0.0
10,0.85,0.8660714285714286,0.5,3.0,1.095890410958904,0.0
11,0.664,0.7,0.5,3.0,1.0781671159029649,0.0
12,0.85,0.7,0.4008918628686366,3.0,0.9324009324009324,0.0
13,0.85,0.7,0.5,3.7416573867739413,0.9070294784580499,0.0
14,0.85,0.8071428571428572,0.5,3.0,0.9324009324009324,0.0
15,0.7666666666666666,0.7,0.5,3.0,1.0075566750629723,0.0
16,0.85,0.7,0.4677071733467426,3.0,0.9153318077803204,0.0
17,0.85,0.7,0.5,3.2071349029490928,0.8316008316008316,0.0
18,0.85,0.7375,0.5,3.0,0.9501187648456056,0.0
19,0.8285714285714285,0.7,0.5,3.0,0.8639308855291576,0.0
20,0.85,0.7,0.5345224838248488,3.0,0.8213552361396304,0.0
21,0.85,0.7,0.5,2.8062430400804566,0.7648183556405354,0.0
22,0.85,0.657142857142857,0.5,3.0,0.7648183556405354,0.0
23,0.86875,0.7,0.5,3.0,0.8869179600886918,0.0
24,0.85,0.7,0.6013377943029549,3.0,0.7590132827324478,0.0
25,0.85,0.7,0.5,2.4944382578492945,0.7677543186180422,0.0
26,0.85,0.5660714285714286,0.5,3.0,0.7677543186180422,0.0
27,0.8962962962962963,0.7,0.5,3.0,0.7677543186180422,0.0
28,0.85,0.7,0.6681531047810609,3.0,0.6745362563237775,0.0
29,0.85,0.7,0.5,2.244994432064365,0.6546644844517185,0.0
30,0.85,0.4642857142857143,0.5,3.0,0.6700167504187605,0.0
31,0.916,0.7,0.5,3.0,0.70298769771529,0.0
32,0.85,0.7,0.7349684152591671,3.0,0.62402496099844,0.0
33,0.85,0.7,0.5,2.0409040291494227,0.6546644844517185,0.0
34,0.85,0.35178571428571415,0.5,3.0,0.6279434850863422,0.0
35,0.9305785123966942,0.7,0.5,3.0,0.6791171477079796,0.0
36,0.85,0.7,0.8017837257372732,3.0,0.5822416302765647,0.0
37,0.85,0.7,0.5,1.8708286933869707,0.6069802731411229,0.0
38,0.85,0.22857142857142854,0.5,3.0,0.5772005772005772,0.0
39,0.9416666666666667,0.7,0.5,3.0,0.5873715124816447,0.0
40,0.85,0.7,0.2004459314343183,3.0,1.3201320132013201,1.0
41,0.85,0.7,0.5,7.483314773547883,1.238390092879257,1.0
42,0.85,0.9517857142857142,0.5,3.0,1.2698412698412698,1.0
43,0.06666666666666654,0.7,0.5,3.0,1.2861736334405145,1.0
44,0.85,0.7,0.2672612419124244,3.0,1.1730205278592376,1.0
45,0.85,0.7,0.5,5.612486080160913,1.1594202898550725,1.0
46,0.85,0.9142857142857143,0.5,3.0,1.1142061281337048,1.0
47,0.475,0.7,0.5,3.0,1.2012012012012012,1.0
48,0.85,0.7,0.33407655239053047,3.0,1.0666666666666667,1.0
49,0.85,0.7,0.5,4.48998886412873,0.9876543209876543,1.0
50,0.85,0.8660714285714286,0.5,3.0,1.0899182561307903,1.0
51,0.664,0.7,0.5,3.0,1.1204481792717087,1.0
52,0.85,0.7,0.4008918628686366,3.0,0.9070294784580499,1.0
53,0.85,0.7,0.5,3.7416573867739413,1.0075566750629723,1.0
54,0.85,0.8071428571428572,0.5,3.0,0.9828009828009828,1.0
55,0.7666666666666666,0.7,0.5,3.0,0.954653937947494,1.0
56,0.85,0.7,0.4677071733467426,3.0,0.9925558312655087,1.0
57,0.85,0.7,0.5,3.2071349029490928,0.9195402298850575,1.0
58,0.85,0.7375,0.5,3.0,0.8565310492505354,1.0
59,0.8285714285714285,0.7,0.5,3.0,0.8421052631578947,1.0
60,0.85,0.7,0.5345224838248488,3.0,0.8016032064128257,1.0
61,0.85,0.7,0.5,2.8062430400804566,0.8016032064128257,1.0
62,0.85,0.657142857142857,0.5,3.0,0.8213552361396304,1.0
63,0.86875,0.7,0.5,3.0,0.8113590263691683,1.0
64,0.85,0.7,0.6013377943029549,3.0,0.7504690431519699,1.0
65,0.85,0.7,0.5,2.4944382578492945,0.74487895716946,1.0
66,0.85,0.5660714285714286,0.5,3.0,0.7858546168958742,1.0
67,0.8962962962962963,0.7,0.5,3.0,0.74487895716946,1.0
68,0.85,0.7,0.6681531047810609,3.0,0.6462035541195477,1.0
69,0.85,0.7,0.5,2.244994432064365,0.6932409012131716,1.0
70,0.85,0.4642857142857143,0.5,3.0,0.7207207207207207,1.0
71,0.916,0.7,0.5,3.0,0.6745362563237775,1.0
72,0.85,0.7,0.7349684152591671,3.0,0.6182380216383307,1.0
73,0.85,0.7,0.5,2.0409040291494227,0.62402496099844,1.0
74,0.85,0.35178571428571415,0.5,3.0,0.6033182503770739,1.0
75,0.9305785123966942,0.7,0.5,3.0,0.6525285481239804,1.0
76,0.85,0.7,0.8017837257372732,3.0,0.5997001499250375,1.0
77,0.85,0.7,0.5,1.8708286933869707,0.5943536404160475,1.0
78,0.85,0.22857142857142854,0.5,3.0,0.5298013245033113,1.0
79,0.9416666666666667,0.7,0.5,3.0,0.583941605839416,1.0
80,0.85,0.7,0.2004459314343183,3.0,1.4134275618374559,2.0
81,0.85,0.7,0.5,7.483314773547883,1.4035087719298245,2.0
82,0.85,0.9517857142857142,0.5,3.0,1.2861736334405145,2.0
83,0.06666666666666654,0.7,0.5,3.0,1.4035087719298245,2.0
84,0.85,0.7,0.2672612419124244,3.0,1.3201320132013201,2.0
85,0.85,0.7,0.5,5.612486080160913,1.1527377521613833,2.0
86,0.85,0.9142857142857143,0.5,3.0,1.1730205278592376,2.0
87,0.475,0.7,0.5,3.0,1.1527377521613833,2.0
88,0.85,0.7,0.33407655239053047,3.0,1.1019283746556474,2.0
89,0.85,0.7,0.5,4.48998886412873,0.9876543209876543,2.0
90,0.85,0.8660714285714286,0.5,3.0,1.0335917312661498,2.0
